Context,Questions,Correct Answers
Use of diuretics in the neonatal period,1. Which of the following is not a therapeutic indication of loop diuretics? a) Sodium-retaining states b) Hyperkalemic states c) Hypercalcemic states d) Nephrogenic diabetes insipidus e) Assessment of distal acidification,d
Use of diuretics in the neonatal period,2. Which of the following is not a side effect of loop diuretics? a) Ototoxicity b) Hyperglycemia c) Hyperuricemia d) Gynecomastia e) Nephrocalcinosis,d
Use of diuretics in the neonatal period,3. Which of the following is a possible side effect of inhibitors of carbonic anhydrase? a) Metabolic alkalosis b) Hyperkalemia c) Hypercalcemia d) Hypokalemia e) Hirsutism,d
Use of diuretics in the neonatal period,4. Which diuretic among the following inhibits the sodium-potassium-chloride cotransporter NKCC? a) Acetazolamide b) Spironolactone c) Amiloride d) Hydrochlorothiazide e) Furosemide,e
When should we start and stop ACEi/ARB in paediatric chronic kidney disease,1. Which of the following is not predictive for kidney disease progression in both glomerular and non-glomerular CKD? A. High blood pressure B. Significant proteinuria C. Age D. Hypoalbuminaemia,C
When should we start and stop ACEi/ARB in paediatric chronic kidney disease,2. Which of the following is not preferred in the management of paediatric CKD? A. ACEi monotherapy B. ACEi and ARB combination therapy C. Normal protein intake D. Attaining a normal vitamin D level,B
When should we start and stop ACEi/ARB in paediatric chronic kidney disease,3. Which of the following predicts good kidney outcomes after RAAS blockade? A. Significant initial reduction in proteinuria B. Acute changes of GFR C. Hyperkalaemia D. Hypotension,A
When should we start and stop ACEi/ARB in paediatric chronic kidney disease,"4. What factors should be considered when one decides on the use of RAASi in advanced CKD? A. Baseline patient characteristics e.g. underlying renal diagnosis B. Treatment response, e.g. proteinuria reduction C. Side effect profiles, e.g. hyperkalaemia D. All of the above",D
Pediatric onco-nephrology: time to spread the word,"You were consulted for evaluation of proteinuria in a 15-month-old boy with urine protein-creatinine ratio of 10. Upon exam, you noticed that he has ambiguous genitalia, and the kidney US that you ordered just came back and showed unilateral kidney mass. The underlying genetic defect mostly involves:  a TRIM37 b PTCH1 c WT1 d PIK3CA",c
Pediatric onco-nephrology: time to spread the word,The mechanism of AKI in the setting of methotrexate therapy is:  a Oxidative stress b Increase peritubular capillary pressure c Interstitial nephritis d Crystal deposition,d
Pediatric onco-nephrology: time to spread the word,"The mechanism of kidney injury in children receiving CAR-T therapy includes  a Decreased effective renal blood flow due to increased capillary leakage and third spacing b CRS c TLS d a and b e a, b, and c",e
Pediatric onco-nephrology: time to spread the word,"You were called by your oncology colleague to discuss the plan to decrease the risk of AKI following CT with IV contrast for a 5-year-old patient with abdominal mass. The patient weight at admission was 34 kg, and his current weight is 30 kg. The laboratory results from 2 h ago showed Na 152 mEq L−1, K 5.9 mEq L−1, BUN 55 mg dL−1, and serum osmolality 320 mOsm kg−1 H2O.  Which of the following is the most crucial intervention to decrease the risk of development of CI-AKI?  a Give the patient D5W + 45 mEq L−1 NaCl for 12 h before and after the CT at a rate of 30 mL h−1. b Use diatrizoate contrast media with osmolality of 1570 mOsm kg−1 H2O c Give the patient a bolus of 20 mL kg−1 of 0.9% NS and postpone the CT until he is fully hydrated d Stop the night dose of amlodipine the day before the CT is done and use the ICM agent iodixanol 320 (Visipaque) 290 mOsm kg−1 H2O",c
Pediatric onco-nephrology: time to spread the word,"You discussed with your fellow that the most appropriate initial management for a 6-year-old girl who was recently diagnosed with Burkitt’s lymphoblastic B-ALL and has a uric acid of 10 mg dL−1, is:  a Daily laboratory tests, IV fluids, and initiation of allopurinol immediately b Start IV fluids, close cardiac monitoring, start rasburicase, and check laboratory tests every 6 h",b
A clinical approach to tubulopathies in children and young adults,The following is not a cause of a generalised proximal tubulopathy: a) Galactosaemia b) Cystinosis c) Wilson’s disease d) Proximal RTA (type 2 RTA) e) Mitochondrial ciliopathy,d
A clinical approach to tubulopathies in children and young adults,Genetic testing is important in the tubulopathies as it can: a) Provide a definitive diagnosis b) Allow the commencement of disease-specific therapy c) Facilitate family planning d) All of the above,d
A clinical approach to tubulopathies in children and young adults,Which statement is incorrect when reviewing proximal and distal RTA? a) Both present with a hypokalaemic metabolic acidosis b) Both are associated with nephrocalcinosis c) Proximal RTA is secondary to an inability to reabsorb bicarbonate d) Distal RTA is secondary to an inability to secrete protons,b
A clinical approach to tubulopathies in children and young adults,"Which statement is incorrect when reviewing tubulopathies that affect magnesium handling of the kidney? a) When assessing hypomagnesaemia, urinary calcium is an important tool to guide diagnosis b) Individuals with variants in CLDN10 present with a salt wasting tubulopathy with hypomagnesaemia c) Individuals with variants in CLDN16/19 present with a salt wasting tubulopathy with hypomagnesaemia d) Familial hypomagnesaemia with hypocalcaemia results from variants in TRMP6",b
A clinical approach to children with C3 glomerulopathy,A kidney biopsy performed in a child with C3 glomerulopathy can show: a) Intramembranous dense deposits b) Mesangial proliferation c) Subepithelial humps d) All of the above e) None of the above,d
A clinical approach to children with C3 glomerulopathy,"Membranoproliferative glomerulonephritis is a histological pattern which may be secondary to alternative pathway of complement dysregulation a) Very rarely b) Frequently, especially in children c) Only in adults d) Only if there is C3 predominance by IF e) In all cases",b
A clinical approach to children with C3 glomerulopathy,The complement system is involved in the pathogenesis of C3G. Which of the following serological tests does not fit in the pattern of increased C3 turnover? a) low C3 levels b) normal C3 levels c) normal factor B d) auto-antibodies against AP convertase C3bBb e) all of the above,c
A clinical approach to children with C3 glomerulopathy,Optimal treatment of C3 glomerulopathy requires a) Supportive care with RAAS inhibition and low-salt diet b) Mycophenolate mofetil when proteinuria is ≤ 0.5 g/day c) Eculizumab d) Therapy targeting the alternative pathway of complement e) All of the above,e
A clinical approach to children with C3 glomerulopathy,"Among therapeutic agents targeting complement, which of the following statements is true? a) Eculizumab is the only agent approved for use in C3G b) ACH4471 targets Factor B c) CCX168 is a C5aR1 antagonist d) APL-2 is orally administered e) LNP023 targets the C5 convertase",c
Acute kidney injury in pediatrics an overview focusing on pathophysiology,"What is the GFR change in each AKI pathophysiological phase? a) Initiation (slow GFR decrease), extension (fast GFR decrease), maintenance (GFR stabilization), recovery (GFR increase). b) Initiation (slow GFR decrease), extension (fast GFR decrease), maintenance (slow GFR increase), recovery (fast GFR increase). c) Initiation (fast GFR decrease), extension (slow GFR decrease), maintenance (GFR stabilization), recovery (GFR increase). d) Initiation (fast GFR decrease), extension (slow GFR decrease), maintenance (GFR increase), recovery (GFR stabilization).",c
Acute kidney injury in pediatrics an overview focusing on pathophysiology,"Considering the pathophysiology of Sepsis-associated Acute Kidney Injury (SA-AKI), choose the correct answer: a) SA-AKI’s pathophysiology is similar to other AKI etiologies, with hypoperfusion and ischemic injury being the main mechanisms. b) The most accepted mechanism associated with SA-AKI is a decrease in global kidney blood flow, but differently from other AKI causes, it does not lead to Acute Tubular Necrosis. c) There is more than one pathway for the development of SA-AKI, including ischemia–reperfusion injury, inflammation, alterations in microcirculation and metabolic reprogramming. d) Microcirculatory dysfunction is one of the mechanisms associated with SA-AKI, through endothelial injury, thrombotic microangiopathy and alteration of the kidney blood flow with preserved capillary density.",c
Acute kidney injury in pediatrics an overview focusing on pathophysiology,Which of the following causes of intrinsic kidney disease is not associated with drug-induced nephrotoxicity? a) Acute Tubular Necrosis. b) Acute Interstitial Nephritis. c) Tumor Lysis Syndrome. d) Rapidly Progressive Glomerulonephritis,c
Acute kidney injury in pediatrics an overview focusing on pathophysiology,Which pregnancy-related event favours AKI onset in neonatology? a) Late term delivery. b) Antenatal glucocorticoid administration. c) Placental abruption. d) Use of centrally-acting anti-hypertensive agents.,c
Acute kidney injury in pediatrics an overview focusing on pathophysiology,Which parameter/condition is most widely used to determine AKI in hospitalized patients? a) Reduction of urine output or anuria. b) Increase in baseline serum creatinine (SCr). c) Reduction of glomerular filtration rate (GFR). d) Need for kidney replacement therapy.,b
Acute and chronic kidney complications in children with type 1 diabetes mellitus,Acute kidney injury in children at T1DM onset… a) … could manifest in about 2/3 of children with DKA b) … is extremely rare c) … is usually not reversible d) … could manifest in about of 2/3 of children without DKA,a
Acute and chronic kidney complications in children with type 1 diabetes mellitus,"In AKI pathophysiology for patients at the onset of T1DM, all of the following factors are involved with the exception of: a) Osmotic polyuria b) Delayed T1DM diagnosis c) Acidosis d) Older age at T1DM onset",d
Acute and chronic kidney complications in children with type 1 diabetes mellitus,The presence of diabetic kidney disease may be indicated by all the following parameters with the exception of: a) Urine albumin to creatinine ratio > 30 mg/g creatinine b) eGFR < 60 mL/min/1.73 m² c) Urine albumin to creatinine ratio > 300 mg/g creatinine d) Glycosuria,d
Acute and chronic kidney complications in children with type 1 diabetes mellitus,The first-choice pharmacological treatment for hypertension in children with T1DM is: a) Angiotensin-converting enzyme inhibitors b) Calcium channel blockers c) Diuretics d) Beta-blockers,a
Acute and chronic kidney complications in children with type 1 diabetes mellitus,The risk of developing DKD increases in case of: a) Poor glycemic control b) Previous AKI episode c) Untreated hypertension d) All of the above,d
Anemia after kidney transplantation,Early post-transplant anemia is defined as anemia diagnosed: a) Within 12 months after kidney transplant b) Within 6 months after kidney transplant c) Within the first month after kidney transplant d) At the 3 month post-transplant visit e) Any time after transplant,b
Anemia after kidney transplantation,Which of the following is NOT a risk factor for post-transplant anemia? a) Pre-transplant anemia b) Delayed graft function c) Iron deficiency d) Corticosteroids e) Viral infections,d
Anemia after kidney transplantation,Post-transplant anemia has been associated with a variety of clinical outcomes in adults including: a) All-cause mortality b) Allograft dysfunction c) Left ventricular hypertrophy d) Congestive heart failure e) All of the above,e
Anemia after kidney transplantation,The initial diagnostic evaluation for PTA in children should include all of the following EXCEPT: a) Measurement of biomarkers of iron status including ferritin and transferrin saturation b) Review of medications to identify those associated with increased risk for anemia c) Measurement of reticulocyte count d) Ultrasound to assess for intra-abdominal hematoma e) Testing for the presence of hemolysis if clinical suspicion is high,d
Anemia after kidney transplantation,The optimal post-transplant hemoglobin level in children: a) Has not been defined b) Is the same as the optimal hemoglobin level in adult kidney transplant recipients c) Depends on the dose of erythropoiesis stimulating agent they are treated with d) Is lower for those receiving iron supplementation e) Is > 11 g/dl,a
An update on lipid apheresis for familial hypercholesterolemia,"Which of the statements below is wrong? a) It is recommended to check plasma lipid levels in children if there is a 1st and 2nd degree relative before the age of 55 (men) or 60 years (women) with early cardiovascular disease. b) An affected parent should undergo genetic testing first and when the diagnosis has been confirmed, genetic testing in the potentially affected child should be performed. c) It is recommended to check plasma lipid levels in every child once, regardless of anamnestic hints or clinical features. d) It is only recommended to look for secondary reasons for elevated lipid levels if no pathogenic mutation can be found.",d
An update on lipid apheresis for familial hypercholesterolemia,Which of the statements below is correct? a) Serum lipid levels are age dependent. b) LDL-target levels are the same in children and adults. c) LDL-target levels can only be reached with a multimodal treatment of medication and lipid apheresis. d) LDL-target levels can only be reached with a multimodal treatment of medication and lipid apheresis twice a week.,a
An update on lipid apheresis for familial hypercholesterolemia,"Which of the statements below is wrong? a) A mutation in the PCSK9 gene decreases LDL receptors and subsequently causes hypercholesterolemia. b) LDL receptor mutations can result in medication resistance. c) LDLR gene mutations are causative in 60–80% of genetically diagnosed cases of hypercholesteronemia. d) If an underlying mutation can be identified, the treatment should always be a multimodal intense therapy because all mutations cause LDL plasma values elevated to a comparable level.",d
An update on lipid apheresis for familial hypercholesterolemia,"Which is the correct next step in diagnostics or therapy when a child . . . a) is newly diagnosed and has no medication yet? Start with a combination of statins, intestinal cholesterol uptake inhibitors and PCSK9 inhibitors to lower the burden of LDL as fast as possible. b) is on statins, intestinal cholesterol uptake inhibitors and PCSK9 inhibitors, and does not show a satisfactory decrease in LDL levels? Check underlying mutation and eventually terminate statins and PCSK9 inhibitors. c) is on lipid apheresis and does not show a satisfactory decrease in LDL levels? Increase the plasma volume to treat, because more treated plasma in a session results in a long-lasting decrease in mean LDL. d) is on lipid apheresis and does not show a satisfactory decrease in LDL levels? Check eluted liquids for co-eliminated factors, because they can be washed out completely.",b
An update on lipid apheresis for familial hypercholesterolemia,"Which of the statements below is correct? a) Endothelial dysfunction and thickening of the arterial vessel wall in hypercholesterolemia can already be present in children. b) Severe atherosclerotic lesions like aortic valve stenosis and supravalvular aortic stenosis cannot be present before adolescence. c) Lipid apheresis does not influence coagulation and rheological pathways, adhesive proteins, immunological/inflammatory properties and vessel compliance. d) Other substances besides LDL can only be found in the DALI column",a
Cardiovascular disease risk factors and lifestyle modification strategies after pediatric kidney transplantation,Which of the following is not associated with an increased risk for new-onset diabetes after transplant (NODAT)? a) High dosage of corticosteroids b) Younger age c) Obesity d) Tacrolimus use,b
Cardiovascular disease risk factors and lifestyle modification strategies after pediatric kidney transplantation,Which of the following foods is not consistent with the Dietary Approaches to Stop Hypertension (DASH) diet? a) 4-5 servings of fruits per day b) 4-5 servings of vegetables per day c) 2-3 servings of dairy per day d) > 8 oz of red meat per day,d
Cardiovascular disease risk factors and lifestyle modification strategies after pediatric kidney transplantation,"Which of the following is recommended by the American Heart Association for children with high-risk health conditions, including kidney transplant recipients? a) At least 5 hours of physical activity weekly b) More than 8 servings of fruits and vegetables daily c) Less than 180 minutes of screen time daily d) At least two servings of red meat daily",a
Cardiovascular disease risk factors and lifestyle modification strategies after pediatric kidney transplantation,Therapeutic lifestyle changes that may be associated with benefit on cardiometabolic parameters among pediatric kidney transplant recipients include: a) Reducing sugar-sweetened beverage intake b) Reducing sodium intake to < 2.3 g daily c) Increasing full-fat dairy intake d) A and B e) All of the above,d
Cardiovascular disease risk factors and lifestyle modification strategies after pediatric kidney transplantation,"Which of the following is a reasonable first step for lowering cholesterol levels in pediatric kidney transplant recipients? a) Switching from tacrolimus to sirolimus b) Blood pressure reduction c) Starting a statin empirically, regardless of the age of the patient d) Increasing consumption of plant-based foods",d
Anticoagulation in patients with acute kidney injury undergoing kidney replacement therapy,Citrate toxicity involves which of the following manifestations?a. High anion gap metabolic acidosis.b. High anion gap metabolic alkalosis.c. High total serum calcium to ionized calcium ratio (> 2.5). d.All of the above.,d
Anticoagulation in patients with acute kidney injury undergoing kidney replacement therapy,"If heparin-induced thrombocytopenia (HIT) is suspected in a dialysis patient, which of the available alternative anticoagulants might be a more appropriate option? a. Enoxaparin b. Nadroparin c. Hirudin d. Dalteparin e. Reviparin ",c
Anticoagulation in patients with acute kidney injury undergoing kidney replacement therapy,"In a patient with acute kidney injury on intermittent hemodialysis, which anticoagulant does NOT require dose adjustment? a. Danaparoid b. Fondaparinux c. Argatroban d. Enoxaparin e. Hirudin",c
Anticoagulation in patients with acute kidney injury undergoing kidney replacement therapy,"What is the mechanism of action of prostacyclin as potential anticoagulant to prolong CKRT circuit life? a. Irreversibly inhibits thrombin. b. Reversibly inhibits platelet function and decreases aggregation by inhibiting GP IIb-IIIa receptor activation. c. Inhibits serine protease and targets protein factors IXa, Xa, Xia, VIIa, and thrombin (IIa). d. Chelation of calcium and decreases adhesions between platelets and red blood cells. e. None of the above.",b
Congenital anomalies of the kidney and urinary tract: defining risk factors of disease progression and determinants of outcomes,"Identified risk factors for the development of chronic kidney disease in children with CAKUT include: a) the underlying CAKUT diagnosis b) kidney size c) baseline eGFR d) family history of CAKUT e) a, b, and c f) all of the above",e
Congenital anomalies of the kidney and urinary tract: defining risk factors of disease progression and determinants of outcomes,The specific CAKUT category most likely associated with the long-term outcome of kidney failure is: a) multicystic dysplastic kidney b) unilateral renal agenesis c) renal hypodysplasia d) posterior urethral valve e) none of the above,d
Congenital anomalies of the kidney and urinary tract: defining risk factors of disease progression and determinants of outcomes,A term newborn in the level 1 nursery was found to have antenatal hydronephrosis on a third-trimester ultrasound with an APD of 12 mm. What is the next best step in management? a) Refer to Nephrology for appointment within the first month of life b) Monitor urine output prior to discharge home c) Obtain kidney bladder ultrasound at 48 h of life d) Schedule patient for VCUG e) Urgent referral to Urology,c
Congenital anomalies of the kidney and urinary tract: defining risk factors of disease progression and determinants of outcomes,Essential components of a successful multidisciplinary pediatric CAKUT care team include: a) pediatric nephrologist b) specialty nurse c) social worker d) dietitian e) pharmacist f) geneticist g) psychologist h) all of the above,h
Care of the pediatric patient on chronic peritoneal dialysis,Which of the following are advantages of PD compared with HD?\na. Improved preservation of residual kidney function\nb. Fewer dietary restrictions\nc. Fewer fluid restrictions\nd. Avoidance of systemic anticoagulation\ne. All of the above,e
Care of the pediatric patient on chronic peritoneal dialysis,Which of the following is NOT an absolute contraindication to PD?\na. Omphalocele\nb. Diaphragmatic hernia\nc. Colostomy\nd. Gastroschisis\ne. Bladder exstrophy,c
Care of the pediatric patient on chronic peritoneal dialysis,Which of the following is one strategy to reduce PD catheter-related infections?\na. Intraoperative antibiotic prophylaxis administration within 30 min prior to incision for PD catheter placement\nb. Downward or lateral-facing exit site\nc. Use of sutures in securing the PD catheter\nd. Avoidance of dressing changes for 2 weeks after catheter placement\ne. Placement of g-tube after PD catheter placement,b
Care of the pediatric patient on chronic peritoneal dialysis,"Low transporters are characterized by:\na. High membrane permeability, rapid solute clearance, poor ultrafiltration, high protein loss\nb. Low membrane permeability, slow solute clearance, good ultrafiltration, low protein loss\nc. Low membrane permeability, rapid solute clearance, good ultrafiltration, high protein loss\nd. High membrane permeability, slow solute clearance, poor ultrafiltration, low protein loss",b
Care of the pediatric patient on chronic peritoneal dialysis,Which of the following are healthcare disparities in children receiving maintenance PD in lower-income countries?\na. Higher mortality risk\nb. Higher cardiovascular-related death\nc. Smaller height\nd. High mineral bone disease\ne. All of the above,e
Cystic kidney disease in tuberous sclerosis complex: current knowledge and unresolved questions,"A 14-year-old girl was evaluated by the ED trauma team after a motor vehicle accident. She was referred to pediatric nephrology for an incidental CT finding of five simple kidney cysts. Noticing a pale macule on her arm, the astute nephrologist entertains the possibility of TSC. Which of the following would make this diagnosis? a) Finding additional hypomelanotic macules on her torso b) Finding additional hypomelanotic macules on her torso and eliciting a history of febrile seizure c) Finding additional hypomelanotic macules on her torso and noticing that the CT reports sclerotic lesions in the thoracic vertebrae d) Realizing her acne might be facial angiofibroma",c
Cystic kidney disease in tuberous sclerosis complex: current knowledge and unresolved questions,"Which of the following statements about renal imaging is true for patients with TSC? a) Infants do not need renal imaging at the time of diagnosis. b) Imaging is recommended at least every one to three years in all patients, regardless of kidney findings. c) Kidney ultrasound is preferable to MRI or CT scan in patients unable to cooperate. d) CT scan without iv contrast is the preferred imaging modality for patients already known to have kidney lesions.",b
Cystic kidney disease in tuberous sclerosis complex: current knowledge and unresolved questions,"Regarding cystic kidney disease in pediatric TSC, which of the following is true? a) Large symptomatic cysts have the highest risk of undergoing malignant transformation. b) Mutations in TSC1 confer a higher risk of kidney failure due to severe polycystic disease and requiring more aggressive therapeutic interventions. c) The Bosniak classification is helpful to stratify cystic kidney masses according to their malignant potential and determine the need and timing of follow-up imaging. d) Temporal changes in cyst morphology are the best indicators of their malignant potential.",d
Cystic kidney disease in tuberous sclerosis complex: current knowledge and unresolved questions,"Which of the following statements about mTOR inhibitors (mTORi) is false? a) Tacrolimus, sirolimus, and everolimus all inhibit mTOR activity. b) mTORi is often used to treat the kidney manifestations of TSC. c) It is unclear if TSC-associated kidney cysts respond to mTORi treatment. d) Pharmacologic levels of mTORi only partly replace the normal function of the TSC1 and TSC2 proteins.",a
Cystic kidney disease in tuberous sclerosis complex: current knowledge and unresolved questions,"In a 7-year-old boy with a clinical diagnosis of TSC based on brain and skin findings, which of the following is most consistent with a diagnosis of TSC/PKD contiguous gene syndrome? a) Bilateral kidney cysts, hypertension, and a disease-associated point mutation in exon 8 of the TSC2 gene b) Bilateral kidney cysts, hypertension, and a paternal grandfather on dialysis for ADPKD c) Bilateral kidney cysts, hypertension, and deletion of multiple exons at the 3’ end of the TSC2 gene d) Bilateral kidney cysts, hypertension, and deletion of multiple exons at the 3’ end of the TSC1 gene",c
Diabetic kidney disease in children and adolescents: an update,1. Which of the following statements is correct about diabetic kidney disease? a) It is always associated with proteinuria. b) It never progresses to end-stage renal disease. c) It can be slowed with appropriate glycemic control. d) It is reversible with medication.c2. What is a common early marker of diabetic kidney disease? a) Microalbuminuria b) Hyperglycemia c) Hypoglycemia d) Polyuriaa3. Which medication is commonly used to treat diabetic kidney disease? a) ACE inhibitors b) Beta-blockers c) Calcium channel blockers d) Diureticsa4. What lifestyle modification is recommended to prevent diabetic kidney disease progression? a) Increased protein intake b) Decreased physical activity c) Smoking cessation d) Increased sodium intakec5. Which of the following is a risk factor for developing diabetic kidney disease in children? a) Low blood pressure b) Type 1 diabetes c) Non-diabetic parents d) Normal weightb,c
Diabetic kidney disease in children and adolescents: an update,2. What is a common early marker of diabetic kidney disease? a) Microalbuminuria b) Hyperglycemia c) Hypoglycemia d) Polyuria,a
Diabetic kidney disease in children and adolescents: an update,3. Which medication is commonly used to treat diabetic kidney disease? a) ACE inhibitors b) Beta-blockers c) Calcium channel blockers d) Diuretics,a
Diabetic kidney disease in children and adolescents: an update,4. What lifestyle modification is recommended to prevent diabetic kidney disease progression? a) Increased protein intake b) Decreased physical activity c) Smoking cessation d) Increased sodium intake,c
Diabetic kidney disease in children and adolescents: an update,5. Which of the following is a risk factor for developing diabetic kidney disease in children? a) Low blood pressure b) Type 1 diabetes c) Non-diabetic parents d) Normal weight,b
Early microvascular complications in type 1 and type 2 diabetes,You are seeing a 14-year-old female patient who has had type 1 diabetes for a total of 5 years in diabetes clinic. Your patient and her family are interested in learning more about the complications of diabetes. Which of the following do you advise the family is the most common microvascular complication of diabetes?\na. Diabetic kidney disease\nb. Diabetic eye disease\nc. Diabetic nerve disease\nd. Cardiovascular disease,b
Early microvascular complications in type 1 and type 2 diabetes,"Which of the following most accurately describes the onset and progression of diabetic kidney disease in children with type 2 diabetes compared to children with type 1 diabetes?\na. Diabetic kidney disease is more prevalent at onset in type 2 diabetes, but available evidence suggests it progresses at a slower rate.\nb. Diabetic kidney disease is more prevalent at onset in type 2 diabetes, and available evidence suggests it progresses at a faster rate.\nc. Although early diabetic kidney disease may exist at diagnosis in type 2 diabetes, the long-term risk of chronic kidney disease progression is similar to type 1 diabetes.\nd. It is extremely rare for early diabetic kidney disease to be present at diagnosis in either type 1 or type 2 diabetes, and the risk of long-term progression of chronic kidney disease is similar for both conditions.",b
Early microvascular complications in type 1 and type 2 diabetes,"You are caring for an 18-year-old male patient with type 2 diabetes who has recently developed worsening albuminuria, which has now progressed to macroalbuminuria. He is currently receiving treatment with metformin and lisinopril. His HbA1c is above target at 7.5% and he has a normal serum creatinine. Which of the following is the best option to improve his long-term kidney outcome?\na. Initiation of long-acting insulin\nb. Addition of an angiotensin-receptor blocker (ARB)\nc. Initiation of a glucagon-like peptide 1 receptor agonist (GLP-1 RA)\nd. Initiation of a sodium-glucose co-transporter 2 (SGLT2) inhibitor",d
Early microvascular complications in type 1 and type 2 diabetes,Which of the following most accurately describes the patient that is at highest risk for developing retinopathy?\na. A 16-year-old male patient with type 1 diabetes diagnosed at 15 years of age with an HbA1c of 7.5% and no microalbuminuria.\nb. An 8-year-old male patient with type 1 diabetes diagnosed at 2 years of age with an HbA1c of 8% and no microalbuminuria.\nc. A 16-year-old female patient with type 1 diabetes diagnosed at age 7 years with an HbA1c of 11% and microalbuminuria.\nd. An 18-year-old female patient with type 1 diabetes diagnosed at age 15 years with an HbA1c of 9% and microalbuminuria.,c
Early microvascular complications in type 1 and type 2 diabetes,You are evaluating a 16-year-old male with a 4-year history of very poorly controlled type 2 diabetes (HbA1c > 14% now) on combination therapy with metformin and long-acting insulin who presents with numbness and tingling in his bilateral lower extremities. What is your next step for further evaluation and/or treatment of this finding?\na. Order cardiovascular reflex testing including heart rate variability and an EKG to evaluate the QT interval.\nb. Start treatment with gabapentin.\nc. Recommend improved glycemic control and increase the patient’s long-acting insulin by 20%.\nd. Start treatment with a glucagon-like peptide 1 receptor agonist (GLP-1 RA).,a
Endothelial dysfunction as a factor leading to arterial hypertension,"Indicate incorrect answer for nitric oxide (NO): a) NO is the main endothelium-derived vasodilatator b) Potassium has an opposite function to NO c) The main substrate to produce NO is arginine d) NO inhibits platelet aggregation and adhesion, smooth muscle cell proliferation, and leucocyte adhesion e) NO inhibits vascular permeability and inflammatory mechanisms",b
Endothelial dysfunction as a factor leading to arterial hypertension,Which antihypertensive drug has no beneficial effect on endothelial cells: a) Valsartan b) Amlodipine c) Ramipril d) Metoprolol e) Nebivolol,d
Endothelial dysfunction as a factor leading to arterial hypertension,What is the biomarker of glycocalyx damage? a) Syndecan-1 b) Angiopoietin-2 c) Angiotensin II d) A + B e) A + C,d
Endothelial dysfunction as a factor leading to arterial hypertension,Which of the following statements about glycocalyx (GCX) is true: a) It has only a mechanical function b) Injury to the GCX increases the risk of atherosclerosis c) Decreased heparanase activity leads to GCX damage d) Loss of GCX decreases transcapillary albumin transport e) GCX damage does not affect vascular permeability,b
Endothelial dysfunction as a factor leading to arterial hypertension,Which of the following methods is not used to evaluate endothelial function in children in studies? a) FMD b) Albuminuria c) Endocan level d) Thrombomodulin level e) Quantitative coronary angiography,e
Fabry disease and kidney involvement,"What are the clinical manifestations in patients with FD? a) only gastrointestinal symptoms and neuropathic pain b) symptoms and signs are heterogeneous c) kidney failure d) heart failure e) gastrointestinal symptoms, neuropathic pain, angiokeratoma, hypohidrosis, acroparesthesia and discomfort during adulthood",b
Fabry disease and kidney involvement,When does Gb-3 deposition occur in the kidney? a) as early as during fetal development b) only after the age of 10 c) in adulthood d) during fetal development only in female patients e) in old age,a
Fabry disease and kidney involvement,Kidney involvement is: a) a positive prognostic indicator b) an early sign of Fabry disease c) a sure predictor of therapy failure d) a significant cause of morbidity and reduced life expectancy in patients with Fabry’s disease e) present only in the elderly,d
Fabry disease and kidney involvement,What is the main therapy? a) diet and exercise b) enzyme replacement therapy (ERT) with glucocerebrosidase c) dialysis d) enzyme replacement therapy (ERT) with agalsidase alfa and agalsidase beta e) lifestyle change,d
Fabry disease and kidney involvement,What are the initial manifestations of kidney impairment? a) shortness of breath b) decreased urine output c) fatigue and confusion d) an increase in microalbuminuria and proteinuria e) a decrease in creatinine clearance,d
Erythropoiesis-independent effects of iron in chronic kidney disease,"In children with CKD, serum ferritin INVERSELY correlates with:\na) CKD stage\nb) Serum hepcidin\nc) Hemoglobin\nd) Inflammatory markers\ne) Iron sequestration",c
Erythropoiesis-independent effects of iron in chronic kidney disease,Hepcidin regulates cellular iron transport by binding to:\na) Ferritin heavy chain\nb) Ferritin light chain\nc) Transferrin receptor 1\nd) Ferroportin\ne) Erythroferron,d
Erythropoiesis-independent effects of iron in chronic kidney disease,Ferroportin is…:\na) …iron importer highly expressed on the apical aspect of enterocytes.\nb) …not expressed in tubular epithelial cells.\nc) …a transcription factor regulating intracellular iron balance.\nd) …regulated exclusively by systemic hepcidin in all cell types.\ne) …the only known iron exporter.,e
Erythropoiesis-independent effects of iron in chronic kidney disease,Which of the following statements about physiologic renal iron handling is correct?\na) Iron is not filtered by healthy glomeruli but may be filtered in nephrotic syndrome.\nb) Iron is filtered by the glomeruli and the majority of filtered iron is reabsorbed.\nc) Tubular secretion of iron is critically important for maintaining iron balance.\nd) Iron is reabsorbed in the proximal tubule primarily via brush border ferroportin.\ne) Transferrin-bound iron cannot be reabsorbed because tubular epithelial cells do not express transferrin receptor 1.,b
Erythropoiesis-independent effects of iron in chronic kidney disease,"Choose the correct statement about the relationship between iron, mineral homeostasis, and bone health:\na) In clinical trials, ferric citrate coordination complex improved hyperphosphatemia in adult dialysis patients.\nb) All iron preparations stimulate FGF23 production in patients with CKD.\nc) Hypophosphatemia has been reported as a complication of oral, but not parenteral, iron administration.\nd) In the general population, similar to children with thalassemia, total body iron stores are directly associated with improved bone mineral density.\ne) Iron typically stimulates the function of osteoblasts and inhibits the function of osteoclasts.",a
